ticker,cik,sector,gics,start,end,note
MAS,62996,gics_indu,Industrials,2015-07-31,,分拆 2015-07-01×1.138
MA,1141391,gics_fin,Financials,,,
MTCH,891103,gics_comm,Communication Services,2020-07-31,,分拆 2008-08-21×1.146;2020-07-01×3.502
MKC,63754,gics_staples,Consumer Staples,,,
MCD,63908,gics_discr,Consumer Discretionary,,,
MCK,927653,gics_health,Health Care,,,
MDT,1613103,gics_health,Health Care,,,
MRK,310158,gics_health,Health Care,2021-06-30,,分拆 2021-06-03×1.048
META,1326801,internet,Communication Services,,,
MET,1099219,gics_fin,Financials,2017-08-31,,分拆 2017-08-07×1.122
MTD,1037646,gics_health,Health Care,,,
MGM,789570,gics_discr,Consumer Discretionary,,,
MCHP,827054,semis,Information Technology,,,
MU,723125,memory,Information Technology,,,
MSFT,789019,software,Information Technology,,,
MAA,912595,gics_re,Real Estate,,,
MRNA,1682852,gics_health,Health Care,,,
MHK,851968,gics_discr,Consumer Discretionary,,,
MOH,1179929,gics_health,Health Care,,,
TAP,24545,gics_staples,Consumer Staples,,,
MDLZ,1103982,gics_staples,Consumer Staples,,,
MPWR,1280452,semis,Information Technology,,,
MNST,865752,gics_staples,Consumer Staples,,,
MCO,1059556,gics_fin,Financials,,,
MS,895421,gics_fin,Financials,,,
MOS,1285785,gics_mat,Materials,,,
MSI,68505,hardware,Information Technology,2011-02-01,,分拆 2011-01-04×0.247372
MSCI,1408198,gics_fin,Financials,,,
NDAQ,1120193,gics_fin,Financials,,,
NTAP,1002047,hardware,Information Technology,,,
NFLX,1065280,internet,Communication Services,,,
NEM,1164727,gics_mat,Materials,,,
NWSA,1564708,gics_comm,Communication Services,,,
NEE,753308,gics_util,Utilities,,,
NKE,320187,gics_discr,Consumer Discretionary,,,
NI,1111711,gics_util,Utilities,2015-07-31,,分拆 2015-07-02×2.545
NDSN,72331,gics_indu,Industrials,,,
NSC,702165,gics_indu,Industrials,,,
NTRS,73124,gics_fin,Financials,,,
NOC,1133421,gics_indu,Industrials,2011-03-31,,分拆 2011-03-31×1.10681
NCLH,1513761,gics_discr,Consumer Discretionary,,,
NRG,1013871,gics_util,Utilities,,,
NUE,73309,gics_mat,Materials,,,
NVDA,1045810,semis,Information Technology,,,
NVR,906163,gics_discr,Consumer Discretionary,,,
NXPI,1413447,semis,Information Technology,,,
ORLY,898173,gics_discr,Consumer Discretionary,,,
OXY,797468,gics_energy,Energy,2016-02-29,,分拆 2014-12-01×1.042;2016-02-25×1.0017
ODFL,878927,gics_indu,Industrials,,,
OMC,29989,gics_comm,Communication Services,,,
