ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
ICE,2013-12-31,2014-02-14,2014-02-14,733000000,,163000000,-1.76e+08,79000000,5,395000000.0,0.65,0.13,,1.2583e+10,1.035e+09,6.193e+09
ICE,2014-03-31,2014-05-08,2014-05-08,1198000000,,409000000,2.62e+08,116000000,5,580000000.0,0.65,0.13,,1.2915e+10,1.021e+09,4.881e+09
ICE,2014-06-30,2014-08-07,2014-08-07,1011000000,,327000000,2.26e+08,116000000,5,580000000.0,0.65,0.13,,1.3243e+10,2.083e+09,3.931e+09
ICE,2014-09-30,2014-11-04,2014-11-04,1006000000,,330000000,2.06e+08,114000000,5,570000000.0,0.65,0.13,,1.2614e+10,1.879e+09,4.136e+09
ICE,2014-12-31,2015-02-05,2015-02-05,1006000000,,400000000,2.88e+08,115000000,5,575000000.0,0.6499999999999999,0.12999999999999998,,1.236e+10,1.852e+09,4.289e+09
ICE,2015-03-31,2015-05-05,2015-05-05,1156000000,,462000000,3.15e+08,112000000,5,560000000.0,0.65,0.13,,1.2297e+10,1.825e+09,4.193e+09
ICE,2015-06-30,2015-08-05,2015-08-05,1073000000,,430000000,2.83e+08,112000000,5,560000000.0,0.75,0.15,,1.241e+10,7e+08,3.263e+09
ICE,2015-09-30,2015-10-28,2015-10-28,1151000000,,440000000,3.06e+08,111000000,5,555000000.0,0.75,0.15,,1.234e+10,7.08e+08,3.5e+09
ICE,2015-12-31,2016-02-04,2016-02-04,1302000000,,418000000,3.7e+08,112000000,5,560000000.0,0.15,0.03,,1.4808e+10,6.56e+08,9.899e+09
ICE,2016-03-31,2016-05-04,2016-05-04,1554000000,,584000000,3.69e+08,0,5,0.0,0.85,0.16999999999999998,,1.5048e+10,4.93e+08,6.766e+09
ICE,2016-06-30,2016-08-03,2016-08-03,1504000000,,551000000,3.57e+08,0,5,0.0,0.17,0.034,,1.5292e+10,4.14e+08,6.53e+09
