ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
COP,2008-06-30,2009-08-04,2009-08-04,73353000000,22139000000.0,,5439000000,1.55545e+06,1,1.55545e+06,0.47,0.47,,,7.87e+08,0
COP,2008-09-30,2009-11-03,2009-11-03,70044000000,,,5188000000,1.52819e+09,1,1.52819e+09,0.47,0.47,,,1.116e+09,0
COP,2009-03-31,2010-05-04,2010-05-04,30741000000,,,800000000,1.49525e+09,1,1.49525e+09,0.47,0.47,,,8.02e+08,0
COP,2009-06-30,2009-08-04,2009-08-04,36630000000,12021000000.0,,1298000000,1.4957e+06,1,1.4957e+06,0.47,0.47,6.181e+09,5.8929e+10,8.88e+08,1.438e+09
COP,2009-09-30,2009-11-03,2009-11-03,40173000000,,,1503000000,1.4982e+09,1,1.4982e+09,0.47,0.47,6.268e+09,6.151e+10,6.41e+08,2.796e+09
COP,2009-12-31,2010-02-25,2010-02-25,41797000000,,,1257000000,1.49761e+09,1,1.49761e+09,0.5,0.5,4.94e+09,6.2467e+10,5.42e+08,1.728e+09
COP,2010-03-31,2010-05-04,2010-05-04,44821000000,,,2098000000,1.50356e+09,1,1.50356e+09,0.5,0.5,7.3e+09,6.2837e+10,8.55e+08,2.763e+09
COP,2010-06-30,2010-08-05,2010-08-05,45686000000,,,4164000000,1.50126e+09,1,1.50126e+09,0.55,0.55,7.119e+09,6.5371e+10,4.12e+09,1.126e+09
COP,2010-09-30,2010-11-02,2010-11-02,47208000000,,,3055000000,1.49308e+09,1,1.49308e+09,0.55,0.55,7.741e+09,6.9361e+10,7.996e+09,1.159e+09
COP,2010-12-31,2011-02-23,2011-02-23,51726000000,,,2041000000,1.49107e+09,1,1.49107e+09,0.5499999999999998,0.5499999999999998,5.197e+09,6.8562e+10,1.0427e+10,1.182e+09
COP,2011-03-31,2011-05-03,2011-05-03,56530000000,,,3028000000,1.44548e+09,1,1.44548e+09,0.66,0.66,7.944e+09,6.9972e+10,8.403e+09,1.155e+09
COP,2011-06-30,2011-08-02,2011-08-02,65627000000,,,3402000000,1.41215e+09,1,1.41215e+09,0.66,0.66,6.986e+09,7.0059e+10,8.14e+09,1.157e+09
COP,2011-09-30,2011-11-01,2011-11-01,62784000000,,,2616000000,1.36956e+09,1,1.36956e+09,0.66,0.66,7.164e+09,6.5806e+10,6.026e+09,1.127e+09
COP,2011-12-31,2012-02-21,2012-02-21,59872000000,,,3390000000,1.3871e+09,1,1.3871e+09,0.6600000000000001,0.6600000000000001,4.631e+09,6.5224e+10,6.361e+09,1.128e+09
COP,2012-03-31,2012-04-30,2012-04-30,56132000000,,,2937000000,1.2931e+09,1,1.2931e+09,0.66,0.66,6.072e+09,6.6534e+10,4.215e+09,1.097e+09
COP,2012-06-30,2012-07-31,2012-07-31,15166000000,,,2267000000,1.25819e+09,1,1.25819e+09,0.66,0.66,1.178e+09,4.5971e+10,1.044e+09,1.929e+09
COP,2012-09-30,2012-10-30,2012-10-30,15089000000,,,1798000000,1.22934e+06,1,1.22934e+06,0.66,0.66,1.176e+09,4.7406e+10,1.268e+09,1.54e+09
COP,2012-12-31,2013-02-19,2013-02-19,-24383000000,,,1426000000,1.25309e+06,1,1.25309e+06,0.6600000000000001,0.6600000000000001,9.65e+08,4.7987e+10,3.618e+09,1.055e+09
COP,2013-03-31,2013-04-30,2013-04-30,14651000000,,,2139000000,1.23591e+06,1,1.23591e+06,0.66,0.66,1.133e+09,4.8803e+10,5.445e+09,1.008e+09
COP,2013-06-30,2013-08-02,2013-08-02,14142000000,,,2050000000,1.23716e+06,1,1.23716e+06,0.66,0.66,1.134e+09,4.8508e+10,3.984e+09,1.009e+09
COP,2013-09-30,2013-11-05,2013-11-05,15470000000,,,2480000000,1.24036e+06,1,1.24036e+06,0.69,0.69,1.268e+09,5.1113e+10,3.883e+09,5.72e+08
COP,2013-12-31,2014-02-25,2014-02-25,13985000000,,,2487000000,1.2398e+06,1,1.2398e+06,0.6900000000000004,0.6900000000000004,1.194e+09,5.209e+10,6.518e+09,9.61e+08
COP,2014-03-31,2014-05-06,2014-05-06,16048000000,,,2123000000,1.24267e+06,1,1.24267e+06,0.69,0.69,1.221e+09,5.3222e+10,7.73e+09,1.712e+09
COP,2014-06-30,2014-08-05,2014-08-05,14701000000,,,2081000000,1.24516e+06,1,1.24516e+06,0.69,0.69,1.291e+09,5.5315e+10,6.43e+09,1.664e+09
COP,2014-09-30,2014-11-04,2014-11-04,12917000000,,,2704000000,1.24744e+06,1,1.24744e+06,0.73,0.73,1.33e+09,5.5274e+10,5.782e+09,1.688e+09
COP,2014-12-31,2015-02-24,2015-02-24,11851000000,,,-39000000,1.24586e+06,1,1.24586e+06,0.73,0.73,1.331e+09,5.1911e+10,5.062e+09,1.82e+08
COP,2015-03-31,2015-05-05,2015-05-05,8002000000,,,272000000,1.24553e+06,1,1.24553e+06,0.73,0.73,1.233e+09,4.8652e+10,2.664e+09,1.93e+08
COP,2015-06-30,2015-08-04,2015-08-04,8660000000,,,-179000000,1.24103e+06,1,1.24103e+06,0.73,0.73,1.277e+09,4.862e+10,3.813e+09,1.38e+08
COP,2015-09-30,2015-11-03,2015-11-03,7507000000,,,-1071000000,1.24212e+06,1,1.24212e+06,0.74,0.74,1.143e+09,4.421e+10,2.413e+09,1.75e+08
COP,2015-12-31,2016-02-23,2016-02-23,6766000000,,,-3450000000,1.24192e+06,1,1.24192e+06,0.7399999999999998,0.7399999999999998,1.124e+09,3.9762e+10,2.368e+09,1.427e+09
COP,2016-03-31,2016-05-03,2016-05-03,5015000000,,,-1469000000,1.24456e+06,1,1.24456e+06,0.25,0.25,1.072e+09,3.9089e+10,5.173e+09,2.079e+09
COP,2016-06-30,2016-08-02,2016-08-02,5575000000,,,-1071000000,1.24489e+06,1,1.24489e+06,0.25,0.25,1.15e+09,3.7544e+10,4.152e+09,1.331e+09
COP,2016-09-30,2016-11-01,2016-11-01,6516000000,,,-1040000000,1.24596e+06,1,1.24596e+06,0.25,0.25,1.108e+09,3.617e+10,4.324e+09,1.336e+09
COP,2016-12-31,2017-02-21,2017-02-21,7254000000,,,-35000000,1.24544e+06,1,1.24544e+06,0.25,0.25,1.018e+09,3.4974e+10,3.66e+09,1.089e+09
COP,2017-03-31,2017-05-04,2017-05-04,7771000000,,,586000000,1.24872e+06,1,1.24872e+06,0.27,0.27,1.097e+09,3.5353e+10,3.361e+09,1.095e+09
COP,2017-06-30,2017-08-01,2017-08-01,8882000000,,,-3440000000,1.23683e+09,1,1.23683e+09,0.27,0.27,1.019e+09,3.0286e+10,1.0267e+10,3.798e+09
COP,2017-09-30,2017-10-31,2017-10-31,7195000000,4269000000.0,,420000000,1.21534e+09,1,1.21534e+09,0.27,0.27,1.023e+09,3.05e+10,9.607e+09,1.331e+09
COP,2017-12-31,2018-02-20,2018-02-20,8736000000,,,1579000000,1.22104e+06,1,1.22104e+06,0.25,0.25,1.06e+09,3.0607e+10,8.198e+09,2.501e+10
COP,2018-03-31,2018-05-01,2018-05-01,8961000000,5247000000.0,,888000000,1.18645e+06,1,1.18645e+06,0.285,0.285,1.053e+09,3.0546e+10,5.272e+09,1.9245e+10
COP,2018-06-30,2018-08-01,2018-08-01,9240000000,6176000000.0,,1640000000,1.18117e+06,1,1.18117e+06,0.29,0.29,1.093e+09,3.1042e+10,3.846e+09,1.667e+10
COP,2018-09-30,2018-10-30,2018-10-30,10165000000,6635000000.0,,1861000000,1.17269e+06,1,1.17269e+06,0.29,0.29,1.239e+09,3.195e+10,4.591e+09,1.6649e+10
COP,2018-12-31,2019-02-19,2019-02-19,10361000000,6375000000.0,,1868000000,1.17554e+06,1,1.17554e+06,0.29499999999999993,0.29499999999999993,1.007e+09,3.1939e+10,6.163e+09,1.6259e+10
COP,2019-03-31,2019-05-02,2019-05-02,10057000000,6382000000.0,,1833000000,1.14652e+06,1,1.14652e+06,0.31,0.31,1.014e+09,3.2859e+10,6.467e+09,1.728e+10
COP,2019-06-30,2019-08-01,2019-08-01,8380000000,5706000000.0,,1580000000,1.13124e+06,1,1.13124e+06,0.31,0.31,1.089e+09,3.2976e+10,6.673e+09,1.7884e+10
COP,2019-09-30,2019-10-31,2019-10-31,10093000000,7383000000.0,,3056000000,1.11325e+06,1,1.11325e+06,0.31,0.31,9.55e+08,3.5146e+10,7.193e+09,1.8252e+10
