ticker,month,mc,px
ORI,2024-03-01,8.5164e+09,30.72
ORI,2024-06-01,8.51086e+09,30.9
ORI,2024-09-01,9.40577e+09,35.42
ORI,2024-12-01,9.29586e+09,36.19
ORI,2025-03-01,9.91495e+09,39.22
ORI,2025-06-01,9.59616e+09,38.44
ORI,2025-09-01,1.06632e+10,42.47
ORI,2025-12-01,1.14702e+10,45.64
ORI,2026-03-01,1.00163e+10,39.9
ORI,2026-06-01,1.02045e+10,40.92
ORI,2026-09-01,9.42214e+09,38.26
OLN,2019-12-01,2.8083e+09,21.5625
OLN,2020-03-01,1.89988e+09,14.5875
OLN,2020-06-01,1.81312e+09,14.3625
OLN,2020-09-01,1.56384e+09,12.38
OLN,2020-12-01,3.87802e+09,24.56
OLN,2021-03-01,5.99546e+09,37.97
OLN,2021-06-01,7.43861e+09,46.26
OLN,2021-09-01,7.90335e+09,48.25
