cik,ticker,status,quarters,prices,splits,share_scale_fixed
866273,,no v2,,,,
866291,ALGM,ok,29.0,16.0,2.0,0.0
866374,FLEX,ok,76.0,5.0,0.0,0.0
866706,ESE,ok,69.0,28.0,2.0,3.0
866729,SCHL,ok,69.0,28.0,5.0,0.0
866829,HOS,ok,69.0,1.0,0.0,0.0
868671,GBCI,ok,69.0,28.0,4.0,0.0
868780,DORM,ok,65.0,28.0,2.0,0.0
868857,ACM,ok,35.0,28.0,0.0,0.0
871763,MAN,ok,38.0,28.0,0.0,0.0
872912,,no v2,,,,
873303,SRPT,ok,38.0,9.0,0.0,8.0
873860,ONIT,ok,66.0,18.0,2.0,0.0
874238,STRL,ok,65.0,28.0,2.0,0.0
874396,,no v2,,,,
874499,GPOR,ok,62.0,19.0,3.0,0.0
874501,,no v2,,,,
874866,CRVL,ok,45.0,28.0,4.0,0.0
875582,,no v2,,,,
875657,,no v2,,,,
876167,PRGS,ok,68.0,28.0,2.0,0.0
876343,,no v2,,,,
876427,MNRO,ok,37.0,28.0,3.0,0.0
876437,MTG,ok,68.0,24.0,0.0,1.0
876523,EZPW,ok,67.0,28.0,1.0,0.0
876883,STGW,ok,38.0,20.0,6.0,0.0
877860,NHI,ok,69.0,28.0,3.0,0.0
879407,ARWR,ok,57.0,28.0,3.0,0.0
879526,WNC,ok,66.0,28.0,3.0,16.0
879585,,no v2,,,,
879635,MPB,ok,65.0,28.0,7.0,0.0
880117,JBSS,ok,66.0,1.0,0.0,0.0
880266,AGCO,ok,69.0,28.0,0.0,0.0
880631,WT,ok,53.0,28.0,5.0,2.0
880641,,no v2,,,,
880807,AMSC,ok,69.0,18.0,0.0,4.0
882508,,no v2,,,,
882796,BCRX,ok,65.0,27.0,2.0,3.0
883107,,no v2,,,,
883237,VRTS,ok,65.0,28.0,3.0,0.0
883569,FOSL,ok,72.0,20.0,2.0,0.0
883948,AUB,ok,65.0,28.0,3.0,0.0
883984,ICUI,ok,74.0,28.0,1.0,0.0
884144,,no v2,,,,
884219,,no v2,,,,
884269,,no v2,,,,
884614,UGI,ok,69.0,28.0,0.0,0.0
884624,,no v2,,,,
885245,BKE,ok,69.0,28.0,3.0,0.0
885508,,no v2,,,,
885550,CACC,ok,65.0,2.0,0.0,0.0
885639,KSS,ok,76.0,25.0,0.0,0.0
885978,,no v2,,,,
886128,,no v2,,,,
886136,,no v2,,,,
886163,LGND,ok,65.0,28.0,5.0,4.0
886206,,no v2,,,,
886346,KAI,ok,65.0,28.0,2.0,3.0
886744,GERN,ok,63.0,27.0,6.0,4.0
887343,COLB,ok,66.0,28.0,2.0,0.0
887359,VCEL,ok,56.0,28.0,2.0,0.0
887396,,no v2,,,,
887596,CAKE,ok,69.0,28.0,3.0,0.0
887733,CENT,ok,65.0,1.0,0.0,0.0
887905,LTC,ok,66.0,28.0,3.0,0.0
887936,FCN,ok,69.0,28.0,0.0,0.0
888491,OHI,ok,70.0,28.0,0.0,1.0
889331,LFUS,ok,67.0,28.0,0.0,0.0
889609,,no v2,,,,
889900,PTEN,ok,73.0,27.0,7.0,0.0
889971,,no v2,,,,
890541,,no v2,,,,
890564,EFOR,ok,38.0,28.0,2.0,0.0
890926,RDN,ok,64.0,28.0,3.0,0.0
891014,MTX,ok,72.0,28.0,2.0,4.0
891166,UVE,ok,65.0,28.0,3.0,0.0
891482,,no v2,,,,
891532,,no v2,,,,
893538,SM,ok,69.0,25.0,1.0,0.0
893847,,no v2,,,,
893949,MD,ok,38.0,28.0,3.0,0.0
894315,,no v2,,,,
894405,ARCB,ok,46.0,28.0,2.0,0.0
894627,,no v2,,,,
894671,,no v2,,,,
895417,ELS,ok,69.0,13.0,0.0,0.0
895419,,no v2,,,,
895447,SHOE,ok,65.0,28.0,4.0,3.0
895456,,no v2,,,,
896156,,no v2,,,,
896264,,no v2,,,,
896622,ATR,ok,69.0,28.0,0.0,0.0
897077,ALG,ok,65.0,28.0,2.0,8.0
897723,SANM,ok,67.0,28.0,1.0,0.0
898174,RGA,ok,69.0,28.0,0.0,0.0
898437,,no v2,,,,
899460,MNKD,ok,43.0,28.0,1.0,0.0
899629,AKR,ok,64.0,28.0,3.0,4.0
899689,VNO,ok,73.0,15.0,0.0,0.0
899715,SKT,ok,30.0,22.0,2.0,0.0
899751,TWI,ok,66.0,28.0,2.0,0.0
899923,,no v2,,,,
901491,PZZA,ok,74.0,28.0,6.0,0.0
902791,BBSI,ok,65.0,28.0,3.0,0.0
903129,THRM,ok,65.0,28.0,2.0,0.0
903419,ALRS,ok,34.0,28.0,5.0,0.0
903651,INOD,ok,66.0,14.0,2.0,3.0
906465,QCRH,ok,65.0,28.0,5.0,0.0
906553,BYD,ok,65.0,28.0,1.0,5.0
906709,,no v2,,,,
907242,,no v2,,,,
907254,,no v2,,,,
907471,CASH,ok,65.0,28.0,0.0,0.0
907654,,no v2,,,,
