ticker,name,mc,px,industry
SLDB,Solid Biosciences Inc. Common Stock,8.59946e+08,8.02,Health Care
IMMX,Immix Biopharma Inc. Common Stock,8.52749e+08,11.92,Health Care
ATTO,Attovia Therapeutics Inc. Common Stock,8.45461e+08,18.52,Health Care
AVTX,Avalo Therapeutics Inc. Common Stock,8.20539e+08,15.3,Health Care
FTH,Faeth Therapeutics Inc. Common Stock,8.15265e+08,31.55,Health Care
HMH,HMH Holding Inc. Class A Common Stock,8.14981e+08,18.55,Consumer Discretionary
ACHV,Achieve Life Sciences Inc. Common Shares,8.05726e+08,7.83,Health Care
ETRA,Electra Therapeutics Inc. Common stock,7.95257e+08,12.59,Health Care
DSGN,Design Therapeutics Inc. Common Stock,7.73509e+08,12.36,Health Care
OLMA,Olema Pharmaceuticals Inc. Common Stock,7.72604e+08,8.83,Health Care
CGBD,Carlyle Secured Lending Inc. Common Stock,7.71987e+08,11.22,Finance
VSTM,Verastem Inc. Common Stock,7.40809e+08,8.18,Health Care
ANNX,Annexon Inc. Common Stock,7.33671e+08,3.87,Health Care
MFIC,MidCap Financial Investment Corporation Common Stock,7.33116e+08,8.9,Finance
GEMI,Gemini Space Station Inc. Class A Common Stock,7.29942e+08,5.63,Finance
EVEX,Eve Holding Inc. Common Stock,7.24852e+08,2.08,Industrials
RCBC,River City Bank Common stock,7.24469e+08,51.02,Finance
FDUS,Fidus Investment Corporation Common Stock,7.24169e+08,19.08,Finance
CLYM,Climb Bio Inc. Common Stock,7.19102e+08,12.52,Health Care
BCSF,Bain Capital Specialty Finance Inc. Common Stock,7.18094e+08,11.07,Finance
BLSM,BlossomHill Therapeutics Inc. Common Stock,7.10075e+08,22.34,Health Care
NIE,Virtus Equity & Convertible Income Fund Common Shares of Beneficial Interest,7.04085e+08,25.41,Finance
MPLT,MapLight Therapeutics Inc. Common Stock,6.97612e+08,10.77,Health Care
PFLT,PennantPark Floating Rate Capital Ltd. Common Stock,6.9651e+08,7.02,Finance
SSYS,Stratasys Ltd. Ordinary Shares (Israel),6.91965e+08,8.03,Technology
FAC,Factorial Energy Inc. Class A Common Stock,6.8923e+08,6.44,Miscellaneous
XFLT,XAI Floating Rate & Alternative Income Trust Common Shares of Beneficial Interest,6.88799e+08,19.42,Finance
NVCT,Nuvectis Pharma Inc. Common Stock,6.87178e+08,21.07,Health Care
NMFC,New Mountain Finance Corporation Common Stock,6.66834e+08,7.06,Finance
TBLD,Thornburg Income Builder Opportunities Trust Common Stock,6.57037e+08,20.48,Finance
BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,6.55872e+08,29.6,Finance
SLRC,SLR Investment Corp. Common Stock,6.42108e+08,11.77,Finance
SGMT,Sagimet Biosciences Inc. Series A Common Stock,6.4178e+08,10.42,Health Care
WCCB,West Coast Community Bancorp Common Stock,6.32603e+08,60.11,Finance
HIFS,Hingham Institution for Savings Common Stock,6.28394e+08,292.63,Finance
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,6.2761e+08,13.09,Finance
ELMT,The Elmet Group Co. Common Stock,6.26856e+08,20.58,Industrials
TMS,Teamshares Inc. Common Stock,6.26114e+08,8.5,Uncategorized
RMT,Royce Micro-Cap Trust Inc. Common Stock,6.25558e+08,13.52,Finance
VEL,Velocity Financial Inc. Common Stock,6.24597e+08,15.82,Finance
AURA,Aura Biosciences Inc. Common Stock,6.24303e+08,6.02,Health Care
GAIN,Gladstone Investment Corporation Business Development Company,6.22816e+08,15.64,Finance
NXP,Nuveen Select Tax Free Income Portfolio Common Stock,6.16812e+08,13.18,Finance
CTGO,Contango Silver & Gold Inc. Common Stock,6.1464e+08,18.38,Basic Materials
FOF,Cohen & Steers Closed-End Opportunity Fund Inc. Common Stock,6.05879e+08,12.33,Finance
MNPR,Monopar Therapeutics Inc. Common Stock,5.99934e+08,89.38,Health Care
VMO,Invesco Municipal Opportunity Trust Common Stock,5.9685e+08,8.85,Finance
KDK,Kodiak AI Inc. Common Stock ,5.95836e+08,2.97,Technology
BME,Blackrock Health Sciences Trust,5.94919e+08,44.62,Finance
NCDL,Nuveen Churchill Direct Lending Corp. Common Stock,5.82273e+08,11.79,Uncategorized
GFUZ,General Fusion Group Ltd. Common Shares,5.51603e+08,8.68,Utilities
IIM,Invesco Value Municipal Income Trust Common Stock,5.38934e+08,11.45,Finance
CBIO,Crescent Biopharma Inc. Common Stock,5.27073e+08,14.19,Health Care
CERS,Cerus Corporation Common Stock,5.23965e+08,2.6,Health Care
RFI,Cohen & Steers Total Return Realty Fund Inc. Common Stock,5.21361e+08,10.61,Finance
NB,NioCorp Developments Ltd. Common Stock,5.11011e+08,3.51,Basic Materials
SWRD,Stewards Inc Common Stock,5.10983e+08,2.42,Finance
VGM,Invesco Trust for Investment Grade Municipals Common Stock (DE),5.05442e+08,9.32,Finance
CAPR,Capricor Therapeutics Inc. Common Stock,5.04065e+08,8.67,Health Care
INDP,Indaptus Therapeutics Inc. Common Stock,5.02324e+08,3.77,Health Care
HQL,abrdn Life Sciences Investors Shares of Beneficial Interest,5.02294e+08,19.56,Finance
SCTX,Scribe Therapeutics Inc. Common Stock,5.02257e+08,26.53,Health Care
PBAM,Private Bancorp of America Inc. Common Stock,4.99924e+08,87.25,Finance
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,4.99019e+08,30.45,Finance
VKQ,Invesco Municipal Trust Common Stock,4.95806e+08,8.96,Finance
IPI,Intrepid Potash Inc Common Stock,4.94129e+08,36.72,Industrials
IQI,Invesco Quality Municipal Income Trust Common Stock,4.93935e+08,9.34,Finance
TECX,Tectonic Therapeutic Inc. Common Stock,4.88343e+08,24.98,Health Care
TYG,Tortoise Energy Infrastructure Corporation Common Stock,4.81649e+08,40.38,Finance
FTHY,First Trust High Yield Opportunities 2027 Term Fund Common Stock,4.76946e+08,12.97,Finance
